,common_name,family,categories,origin,climate,zone,img_url
240,"  Splitleaf Philodendron ,  Mexican Breadfruit  ",Araceae,Philodendron,  Central America  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5661.jpg
241,  Peace lily  ,Araceae,Spathiphyllum,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5764.jpg
242,  Umbella plant  ,Araliaceae,Schefflera,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5738.jpg
243,"  Hawaiian elf ,  Parasol plant  ",Araliaceae,Schefflera,  Cultivar  ,Tropical,"[11,11]",http://www.tropicopia.com/house-plant/thumbnails/5748.jpg
244,  Weeping fig  ,Moraceae,Ficus,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5605.jpg
245,  Rubber plant  ,Moraceae,Ficus,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5613.jpg
246," ""Rabbit s foot"", ""Squirrel s foot"" ",Davalliaceae,Fern,  Canaries  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5542.jpg
247,"  Spineless yucca ,  Palm lily  ",Liliaceae,Dracaena,  Mexico  ,Subtropical,"[11, 9]",http://www.tropicopia.com/house-plant/thumbnails/5787.jpg
248,  Croton  ,Euphorbiaceae,Foliage plant,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5533.jpg
249,  Lisa Dracaena  ,Liliaceae,Dracaena,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5561.jpg
250,"  Bella palm ,  Neanthebella palm ,  Dwarf palm ,  Parlor palm  ",Arecaceae,Palm,  Mexico  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5517.jpg
251,"  Rosy Maidenhair ,  Autralian maidenhair  ",Polypodiaceae,Fern,"  Australia ,  New Guinea  ",Tropical,"[10, 8]",http://www.tropicopia.com/house-plant/thumbnails/5436.jpg
252,  Yellow Malaysian Dracaena  ,Liliaceae,Dracaena,  India  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5580.jpg
253,  Majesty palm  ,Arecaceae,Palm,  Madagascar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5722.jpg
254,None,Bromeliaceae,Bromeliad,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5664.jpg
255,  Chinese Evergreen  ,Araceae,Aglaonema,  Hybrid  ,Tropical,[11],http://www.tropicopia.com/house-plant/thumbnails/5451.jpg
256,  Umbella plant  ,Araliaceae,Schefflera,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5740.jpg
257,  Chinese Evergreen  ,Araceae,Aglaonema,  Hybrid  ,Tropical,[11],http://www.tropicopia.com/house-plant/thumbnails/5472.jpg
258,  Lady palm  ,Arecaceae,Palm,  China  ,Subtropical,"[11, 9]",http://www.tropicopia.com/house-plant/thumbnails/5821.jpg
259,"  Algerian ivy ,  Montgomery ivy  ",Araliaceae,Hanging,  Canaries  ,Subtropical,"[11, 8]",http://www.tropicopia.com/house-plant/thumbnails/5633.jpg
260,  Cornstalk plant  ,Liliaceae,Dracaena,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5567.jpg
261,  Weeping fig  ,Moraceae,Ficus,  Cultivar  ,Tropical,"[11,9]",http://www.tropicopia.com/house-plant/thumbnails/5608.jpg
262,  Red Philodendron  ,Araceae,Philodendron,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5683.jpg
263,None,Orchidaceae,Flower,  Hybrid  ,Tropical humid,"[11,12]",http://www.tropicopia.com/house-plant/thumbnails/5681.jpg
264,  Snake plant  ,Liliaceae,Sansevieria,  South Africa  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5734.jpg
265,"  Hawaiian elf ,  Parasol plant  ",Araliaceae,Schefflera,  Taiwan  ,Tropical,"[11,11]",http://www.tropicopia.com/house-plant/thumbnails/5746.jpg
266,"  Bougainvillia ,  Paper flower  ",Nyctaginaceae,Flower,  Cultivar  ,Tropical,[13],http://www.tropicopia.com/house-plant/thumbnails/5503.jpg
267,"  Spineless yucca ,  Palm lily  ",Liliaceae,Dracaena,  Mexico  ,Subtropical,"[11, 9]",http://www.tropicopia.com/house-plant/thumbnails/5786.jpg
268,  Phrynium  ,Marantaceae,Foliage plant,  Brazil  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5539.jpg
269,  Dumcane  ,Araceae,Dieffenbachia,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5545.jpg
270,"  Ming Aralia ,  Parsley panax  ",Araliaceae,Aralia,  Malaysia  ,Tropical,"[11,9]",http://www.tropicopia.com/house-plant/thumbnails/5703.jpg
271,None,Bromeliaceae,Bromeliad,  Hybrid  ,Tropical humid,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5775.jpg
272,"  Parlor ivy ,  Sweetheart plant ,  Heartleaf philodendron ,  Cordatum vine  ",Araceae,Philodendron,  Central America  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5689.jpg
273,  Peace lily  ,Araceae,Spathiphyllum,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5761.jpg
274,  Cornstalk plant  ,Liliaceae,Dracaena,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5568.jpg
275,  Spider plant  ,Liliaceae,Hanging,  Central Africa  ,Tropical to subtropical,"[11, 9]",http://www.tropicopia.com/house-plant/thumbnails/5527.jpg
276,  Lime philodendron  ,Araceae,Philodendron,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5685.jpg
277,  Madagascar dragon tree  ,Liliaceae,Dracaena,  Madagascar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5569.jpg
278,  Peace lily  ,Araceae,Spathiphyllum,  Cultivar  ,Tropical,"[11,11]",http://www.tropicopia.com/house-plant/thumbnails/5762.jpg
279,  Malaysian Dracaena  ,Liliaceae,Dracaena,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5584.jpg
280,None,Bromeliaceae,Bromeliad,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5537.jpg
281,  Snake plant  ,Liliaceae,Sansevieria,  South Africa  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5732.jpg
282,  Monster cactus  ,Cactaceae,Cactus & Succulent,  Brazil  ,Arid Tropical,"[11, 9]",http://www.tropicopia.com/house-plant/thumbnails/5516.jpg
283,  Peace lily  ,Araceae,Spathiphyllum,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5759.jpg
284,None,Araceae,Philodendron,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5695.jpg
285,  Burro-tail  ,Crasssulaceae,Ground Cover,  Mexico  ,Arid Tropical,"[11, 9]",http://www.tropicopia.com/house-plant/thumbnails/5755.jpg
286,  Rubber plant  ,Moraceae,Ficus,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5619.jpg
287,None,Bromeliaceae,Bromeliad,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5780.jpg
288,  Coral berry  ,Bromeliaceae,Bromeliad,  Brazil  ,Subtropical,[10],http://www.tropicopia.com/house-plant/thumbnails/5439.jpg
289,None,Bromeliaceae,Bromeliad,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5663.jpg
290,"  Hawaiian elf ,  Parasol plant  ",Araliaceae,Schefflera,  Taiwan  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5743.jpg
291,  Silver vase  ,Bromeliaceae,Bromeliad,  Hybrid  ,Tropical humid,[10],http://www.tropicopia.com/house-plant/thumbnails/5440.jpg
292,  China doll  ,Bignoniaceae,Other,  China  ,Subtropical,"[11, 9]",http://www.tropicopia.com/house-plant/thumbnails/5721.jpg
293,  Fidleleaf fig  ,Moraceae,Ficus,  Ouest Africa  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5621.jpg
294,  Grass tree  ,Liliaceae,Other,  Australia  ,Arid Tropical,"[11, 9]",http://www.tropicopia.com/house-plant/thumbnails/5784.jpg
295,  White Pothos  ,Araceae,Hanging,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5597.jpg
296,  Striped Dracaena  ,Liliaceae,Dracaena,  Africa  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5564.jpg
297,"  Areca palm ,  Butterfly palm  ",Arecaceae,Palm,  Madagascar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5588.jpg
298,  Striped Dracaena  ,Liliaceae,Dracaena,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5560.jpg
299,"  Bird nest Anthurium ,  Cabbage Anthurium  ",Araceae,Anthurium,  Costa rica  ,Tropical,[11],http://www.tropicopia.com/house-plant/thumbnails/5494.jpg
300,  Golden Pothos  ,Araceae,Hanging,  South Pacific  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5594.jpg
301,"  Miniature treefern ,  Dwarf treefern  ",Polypodiaceae,Fern,  New Calidonia  ,Tropical humid,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5500.jpg
302,"  Yellow Hawaiian elf ,  Yellow parasol plant  ",Araliaceae,Schefflera,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5751.jpg
303,"  Areca palm ,  Butterfly palm  ",Arecaceae,Palm,  Madagascar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5589.jpg
304,  Tree Maindenhair fern  ,Dryopteridaceae,Fern,,Tropical humid,"[11, 9]",http://www.tropicopia.com/house-plant/thumbnails/5543.jpg
305,  Umbella plant  ,Araliaceae,Schefflera,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5739.jpg
306,  English ivy  ,Araliaceae,Topiairy,  Cultivar  ,Subtropical,"[11, 8]",http://www.tropicopia.com/house-plant/thumbnails/5636.jpg
307,  English ivy  ,Araliaceae,Topiairy,  Cultivar  ,Subtropical,"[11, 8]",http://www.tropicopia.com/house-plant/thumbnails/5635.jpg
308,"  Buttrefly Ginger ,  White Ginger  ",Zingiberaceae,Flower,  China  ,Subtropical,"[11, 8]",http://www.tropicopia.com/house-plant/thumbnails/5642.jpg
309,"  Paper Flower ,  Bougainvillia  ",Nyctaginaceae,Flower,  Cultivar  ,Tropical,[10],http://www.tropicopia.com/house-plant/thumbnails/5502.jpg
310,  Golden Trumpet  ,Apocynaceae,Flower,  Brazil  ,Tropical,"[11, 9]",http://www.tropicopia.com/house-plant/thumbnails/5484.jpg
311,  Birdnest fern  ,Aspleniaceae,Fern,  Asia  ,Tropical humid,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5499.jpg
312,  Tricolor Peperomia  ,Piperaceae,Other,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5678.jpg
313,  Snake plant  ,Liliaceae,Sansevieria,  South Africa  ,Subtropical,"[11, 9]",http://www.tropicopia.com/house-plant/thumbnails/5730.jpg
314,None,Araceae,Foliage plant,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5647.jpg
315,  Janet Craig  ,Liliaceae,Dracaena,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5555.jpg
316,"  Balfour aralia ,  Aralia Balfouriana  ",Araliaceae,Aralia,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5707.jpg
317,  Velvet Calathea  ,Marantaceae,Foliage plant,  Brazil  ,Tropical,[11],http://www.tropicopia.com/house-plant/thumbnails/5507.jpg
318,  Madagascar dragon tree  ,Liliaceae,Dracaena,  Madagascar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5570.jpg
319,  Tree-Cereus  ,Cactaceae,Cactus & Succulent,  Brazil  ,Arid Tropical,"[11, 9]",http://www.tropicopia.com/house-plant/thumbnails/5515.jpg
320,"  Elephant foot ,  Pony tail  ",Agavaceae,Foliage plant,  Mexico  ,Arid Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5671.jpg
321,"  Hawaiian elf ,  Parasol plant  ",Araliaceae,Schefflera,  Taiwan  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5745.jpg
322,  Dumcane  ,Araceae,Dieffenbachia,  Hybrid  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5548.jpg
323,  Variegated Euphorbia  ,Euphorbiaceae,Cactus & Succulent,  Africa  ,Arid Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5598.jpg
324,  Chinese hibiscus  ,Malvaceae,Flower,  Asia  ,Tropical,"[11,11]",http://www.tropicopia.com/house-plant/thumbnails/5644.jpg
325,"  Boston fern ,  Sword fern  ",Nephrolepidaceae,Fern,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5667.jpg
326,  Silver Ribbon Fern  ,Pteridaceae,Fern,  Cultivar  ,Tropical humid,"[10,9]",http://www.tropicopia.com/house-plant/thumbnails/5718.jpg
327,  White bird of paradise  ,Strelitziaceae,Foliage plant,  South Africa  ,Subtropical,"[11, 9]",http://www.tropicopia.com/house-plant/thumbnails/5767.jpg
328,  Chinese Evergreen  ,Araceae,Aglaonema,  Hybrid  ,Tropical,[11],http://www.tropicopia.com/house-plant/thumbnails/5460.jpg
329,"  Hawaiian elf ,  Parasol plant  ",Araliaceae,Schefflera,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5750.jpg
330,  Croton  ,Euphorbiaceae,Foliage plant,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5534.jpg
331,None,Bromeliaceae,Bromeliad,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5665.jpg
332,"  Sago palm ,  King sago  ",Cycadaceae,Palm,  Japan  ,Subtropical,"[11, 9]",http://www.tropicopia.com/house-plant/thumbnails/5540.jpg
333,  Snake plant  ,Liliaceae,Sansevieria,  South Africa  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5733.jpg
334,  Jade Plant  ,Crasssulaceae,Cactus & Succulent,  South Africa  ,Subtropical arid,"[11, 8]",http://www.tropicopia.com/house-plant/thumbnails/5535.jpg
335,  Pignee Date palm  ,Palmae,Palm,  Vietnam  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5697.jpg
336,"  Lilliput Agave ,  Century plant  ",Amaryllidaceae,Cactus & Succulent,  Mexico  ,Arid Tropical,"[10, 8]",http://www.tropicopia.com/house-plant/thumbnails/5445.jpg
337,  Chinese Evergreen  ,Araceae,Aglaonema,  Hybrid  ,Tropical,[11],http://www.tropicopia.com/house-plant/thumbnails/5465.jpg
338,  Snake plant  ,Liliaceae,Sansevieria,  South Africa  ,Subtropical,"[11, 9]",http://www.tropicopia.com/house-plant/thumbnails/5727.jpg
339,"  Bella palm ,  Neanthebella palm ,  Dwarf palm ,  Parlor palm  ",Arecaceae,Palm,  Mexico  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5520.jpg
340,  Snake plant  ,Liliaceae,Sansevieria,  South Africa  ,Subtropical,"[11, 9]",http://www.tropicopia.com/house-plant/thumbnails/5728.jpg
341,  Dumcane  ,Araceae,Dieffenbachia,  Hybrid  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5552.jpg
342,  Medallion Calathea  ,Marantaceae,Foliage plant,  Hybrid  ,Tropical,[11],http://www.tropicopia.com/house-plant/thumbnails/5509.jpg
343,  Japanese tassel fern  ,Dryopteridaceae,Fern,  Japan  ,Subtropical,"[10, 6]",http://www.tropicopia.com/house-plant/thumbnails/5716.jpg
344,  Willow fig tree  ,Moraceae,Ficus,  Cultivar  ,Tropical,"[11,9]",http://www.tropicopia.com/house-plant/thumbnails/5625.jpg
345,"  Ming Aralia ,  Parsley panax  ",Araliaceae,Aralia,  Malaysia  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5704.jpg
346,  Golden Pothos  ,Araceae,Hanging,  South Pacific  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5593.jpg
347,"  Thread Agave ,  Century plant  ",Amaryllidaceae,Cactus & Succulent,  Mexico  ,Arid Tropical,"[10, 8]",http://www.tropicopia.com/house-plant/thumbnails/5444.jpg
348,  Chicken gizard aralia  ,Araliaceae,Aralia,  Malaysia  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5702.jpg
349,  Chinese Evergreen  ,Araceae,Aglaonema,  Hybrid  ,Tropical,[11],http://www.tropicopia.com/house-plant/thumbnails/5476.jpg
350,  Chinese Evergreen  ,Araceae,Aglaonema,  Hybrid  ,Tropical,[11],http://www.tropicopia.com/house-plant/thumbnails/5470.jpg
351,  Chinese Evergreen  ,Araceae,Aglaonema,  Hybrid  ,Tropical,[11],http://www.tropicopia.com/house-plant/thumbnails/5474.jpg
352,  Silver Calathea  ,Marantaceae,Foliage plant,  Cultivar  ,Tropical,[12],http://www.tropicopia.com/house-plant/thumbnails/5506.jpg
353,  Rubber plant  ,Moraceae,Ficus,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5617.jpg
354,"  Blue Agave ,  Century plant  ",Amaryllidaceae,Cactus & Succulent,  Mexico  ,Arid Tropical,"[10, 8]",http://www.tropicopia.com/house-plant/thumbnails/5446.jpg
