,common_name,family,categories,origin,climate,zone,img_url
105,  Dumcane  ,Araceae,Dieffenbachia,  Hybrid  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5546.jpg
106,"  Kentia palm ,  Paradise palm  ",Arecaceae,Palm,  South Pacific  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5648.jpg
107,  Fish tail palm  ,Palmae,Palm,  India  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5512.jpg
108,  Striped Dracaena  ,Liliaceae,Dracaena,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5553.jpg
109,  Madagascar Palm  ,Apocynaceae,Cactus & Succulent,  Madagascar  ,Arid Tropical,"[11, 9]",http://www.tropicopia.com/house-plant/thumbnails/5675.jpg
110,  Croton  ,Euphorbiaceae,Foliage plant,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5530.jpg
111,  Peace lily  ,Liliaceae,Spathiphyllum,  Cultivar  ,Tropical,"[11,12]",http://www.tropicopia.com/house-plant/thumbnails/5766.jpg
112,  Umbella plant  ,Araliaceae,Schefflera,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5737.jpg
113,  Grape Ivy  ,Vitaceae,Hanging,  Cultivar  ,Subtropical,"[11, 9]",http://www.tropicopia.com/house-plant/thumbnails/5529.jpg
114,  Chinese Evergreen  ,Araceae,Aglaonema,  Hybrid  ,Tropical,[11],http://www.tropicopia.com/house-plant/thumbnails/5453.jpg
115,"  Miniature fishtail ,  Steel palm  ",Arecaceae,Palm,  Mexico  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5523.jpg
116,  Silver Lace Fern  ,Pteridaceae,Fern,  Asia  ,Tropical humid,"[10,9]",http://www.tropicopia.com/house-plant/thumbnails/5720.jpg
117,  Rubber plant  ,Moraceae,Ficus,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5615.jpg
118,  Wax plant  ,Asclepiadaceae,Hanging,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5651.jpg
119,"  Tailflower ,  Wax flower  ",Araceae,Anthurium,  Cultivar  ,Tropical,[11],http://www.tropicopia.com/house-plant/thumbnails/5493.jpg
